id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.292,-0.404,-1.218,1.219,0,0,0,0,0,0,42239,0,0,0.0762325748387097,3.01123493983333,0.166236480888889,0.219525660129032,0.262853487096774,0.206544757466667,0,0,0.393868303333333,6.02246987966667,1,1,0.806451612903226,0.5
2,32,38,17,17,3,7,9,14,1,0,0,0,2,0,-0.475,-0.286,-1.234,0.229,0,0,0,0,0,0,266816,0,0,0.0278332986451613,2.75808846853333,0.202765397037037,0.229050963387097,0.338453098064516,0.2376736534,0,0,0.2157080645,6.36481954276923,1,1,0.870967741935484,0.566666666666667
3,4,7,2,4,0,0,1,0,0,0,0,0,1,3,-0.265,-0.47,-1.106,0.365,0,0,0,0,0,0,192838,0.117215714892857,0.000590160064516129,0.0608103801935484,4.78973224356667,0.220611574074074,0.314083822580645,0.363443030645161,0.276812444133333,0.6564080034,0.018294962,0.23564022325,7.98288707261111,0.821428571428571,0.967741935483871,0.741935483870968,0.4
4,6,26,4,26,0,0,1,0,0,0,0,0,1,0,0.21,-0.445,-1.078,0.89,0,0,0,0,0,0,198315,0.0862050126428571,0,0.0365821192580645,5.47968197546667,0.203714633925926,0.310011665806452,0.378477117741935,0.321257553866667,0.402290059,0,0.162006528142857,10.274403704,0.785714285714286,1,0.774193548387097,0.466666666666667
5,1,3,1,3,0,0,0,0,0,0,0,0,0,0,-0.171,-0.302,-1.141,0.106,0,0,0,0,0,0,62807,0.04483992625,0.0444282284193548,0.328566427290323,3.75909192526667,0.25286403037037,0.36822134,0.372279672903226,0.297127352666667,0.156939741875,0.153030564555556,0.925959931454545,6.63369163282353,0.714285714285714,0.709677419354839,0.645161290322581,0.433333333333333
6,6,3,4,3,0,0,2,0,0,0,0,0,0,0,-0.163,-0.43,-0.741,1.064,0,0,0,0,0,0,352929,0.00703204160714286,0,0.000386454677419355,3.12438097693333,0.235376042222222,0.308178941290323,0.41356655483871,0.337616800166667,0.0656323883333333,0,0.0059900475,7.21010994676923,0.892857142857143,1,0.935483870967742,0.566666666666667
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257,0.016,-0.953,-0.858,0,0,0,0,0,0,108317,0.0363723964285714,0.161118362967742,0.0580544101290323,0.0146531906666667,0.109012378481482,0.146084125612903,0.134162139354839,0.137582748333333,1.0184271,0.9989338504,0.22496083925,0.146531906666667,0.964285714285714,0.838709677419355,0.741935483870968,0.9
8,6,3,1,2,0,0,5,1,0,0,0,0,0,0,-0.338,-0.331,-1.372,0.392,0,0,0,0,0,0,237308,0,0,0.0203648386774194,2.8737091405,0.232320650740741,0.244829074096774,0.33431954483871,0.2394082088,0,0,0.0901871427142857,6.15794815821429,1,1,0.774193548387097,0.533333333333333
9,66,105,33,55,17,18,12,28,1,0,0,0,3,4,-0.499,-0.288,-1.131,-0.073,0,0,0,0,0,0,1844955,0,0,0.0210316058064516,2.10786257333333,0.169006241296296,0.176320334516129,0.201939688709677,0.191394424666667,0,0,0.32598989,12.64717544,1,1,0.935483870967742,0.833333333333333
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205,-0.203,-0.704,-0.802,0,0,0,0,0,0,17308,0,0,0.174606113612903,0.168354495666667,0.136420155037037,0.133727548548387,0.1473931928,0.146860519633333,0,0,1.0825579044,1.010126974,1,1,0.838709677419355,0.833333333333333
11,8,7,4,0,2,2,2,5,0,0,0,0,0,0,-0.34,-0.295,-0.804,0.52,0,0,0,0,0,0,82812,0.000221622142857143,0,0,1.75234870756667,0.218342550740741,0.238992247096774,0.295408202903226,0.215537778966667,0.00620542,0,0,4.04388163284615,0.964285714285714,1,1,0.566666666666667
12,12,6,4,1,4,4,1,0,1,0,0,0,2,1,-0.346,-0.273,-0.478,1.441,0,0,0,0,0,0,262969,0,0,0,2.01712010856667,0.195974295925926,0.225004833032258,0.251543363548387,0.217928408033333,0,0,0,5.50123665972727,1,1,1,0.633333333333333
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284,-0.411,-0.756,0.924,0,0,0,0,0,0,92924,0.0379784930357143,0,0.0014499584516129,2.9472227572,0.201135305925926,0.288026770967742,0.298399066451613,0.299623602666667,0.26584945125,0,0.022474356,7.368056893,0.857142857142857,1,0.935483870967742,0.6
14,2,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.28,-0.358,-1.229,-0.982,0,0,0,0,0,0,196777,0,0.0345800405483871,0.131955837096774,0.00598765606666667,0.103568543888889,0.123542654225806,0.118837191193548,0.114978657333333,0,0.1071981257,0.371875540909091,0.0359259364,1,0.67741935483871,0.645161290322581,0.833333333333333
15,2,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.103,-0.243,-0.838,-0.847,0,0,0,0,0,0,445645,0.133728998928571,0.069516878516129,0.00423022125806452,0.0177393623333333,0.152719812592593,0.202688786967742,0.184069558387097,0.192127541133333,1.24813732333333,0.359170539,0.03278421475,0.177393623333333,0.892857142857143,0.806451612903226,0.870967741935484,0.9
16,18,16,8,9,3,1,6,6,0,0,0,0,1,0,-0.293,-0.182,-0.715,-0.324,0,0,0,0,0,0,524975,0,0,0.155003012870968,0.0210690608333333,0.159415634444444,0.166162836774194,0.164880830333333,0.154572515833333,0,0,0.600636674875,0.210690608333333,1,1,0.741935483870968,0.9
17,1,8,0,0,0,0,1,8,0,0,0,0,0,0,-0.108,-0.364,-0.978,0.677,0,0,0,0,0,0,121846,0.0212884422857143,0,0.0131574481612903,5.00016399753333,0.258855681851852,0.380758567096774,0.476856669032258,0.3411020372,0.198692128,0,0.10197022325,9.375307495375,0.892857142857143,1,0.870967741935484,0.466666666666667
18,3,2,2,1,1,1,0,0,0,0,0,0,0,0,-0.358,-0.376,-0.729,1.424,0,0,0,0,0,0,154600,4.545175e-05,0,0,2.79493740186667,0.211431758888889,0.275053096451613,0.317607987741935,0.306069904266667,0.001272649,0,0,6.98734350466667,0.964285714285714,1,1,0.6
19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.352,-0.184,-0.424,-0.373,0,0,0,0,0,0,514676,0,9.13531935483871e-05,0,0.200253644966667,0.184553187037037,0.210875295806452,0.208973887741935,0.199991332466667,0,0.002831949,0,1.2015218698,1,0.967741935483871,1,0.833333333333333
20,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.277,-0.191,-0.434,0.592,0,0,0,0,0,0,72629,0,0,0,0.300340053566667,0.180244651481481,0.179586161645161,0.208040317741935,0.200081971133333,0,0,0,1.50170026783333,1,1,1,0.8
21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.306,-0.146,-0.517,1.71,0,0,0,0,0,0,93629,0,0,0.00785090477419355,0.906916944,0.203091027407407,0.250065087419355,0.244693985806452,0.256529603666667,0,0,0.081126016,4.53458472,1,1,0.903225806451613,0.8
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443,-0.36,-0.875,0.742,0,0,0,0,0,0,220467,0.00194128210714286,0,0,3.02008913813333,0.251514175555556,0.32629033516129,0.436805036774194,0.384391857666667,0.018118633,0,0,6.96943647261538,0.892857142857143,1,1,0.566666666666667
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.353,-0.058,-0.36,2.166,0,0,0,0,0,0,113990,0.00309323407142857,0.00290829225806452,0,2.004992066,0.20575,0.217703861935484,0.270470795806452,0.227479278766667,0.0216526385,0.09015706,0,6.68330688666667,0.857142857142857,0.967741935483871,1,0.7
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.304,0.295,-0.389,1.961,0,0,0,0,0,0,144879,0,0.00750398838709677,0,1.35970048253333,0.185972758518519,0.192777114419355,0.222568811612903,0.190791279633333,0,0.23262364,0,4.53233494177778,1,0.967741935483871,1,0.7
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-0.376,-1.269,0.752,0,0,0,0,0,0,97150,0,0,0.0996523718387096,2.878992193,0.182619142740741,0.228308255806452,0.283349042580645,0.212933604366667,0,0,0.3089223527,6.64382813769231,1,1,0.67741935483871,0.566666666666667
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261,-0.144,-1.164,-0.92,0,0,0,0,0,0,54766,0,0.00813660948387097,0.277036676774194,0.157562550866667,0.173135321333333,0.158089019548387,0.158914272766667,0.152981119166667,0,0.0630587235,1.43135616333333,0.59085956575,1,0.870967741935484,0.806451612903226,0.733333333333333
27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.306,-0.177,-0.425,-0.157,0,0,0,0,0,0,66051,0,0,0,0.178429501266667,0.155568835740741,0.182594932903226,0.174981186129032,0.168832129,0,0,0,1.0705770076,1,1,1,0.833333333333333
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.329,-0.16,-0.633,-0.458,0,0,0,0,0,0,111744,0.000714887714285714,0.0234056098709677,0.00105720719354839,0.0391501047333333,0.135352971444444,0.157722812903226,0.160009213225806,0.1485425902,0.010008428,0.1451147812,0.0163867115,0.2349006284,0.928571428571429,0.838709677419355,0.935483870967742,0.833333333333333
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339,-0.305,-0.388,1.399,0,0,0,0,0,0,66106,0.000392259107142857,0,0,1.30470201766667,0.197693313333333,0.258102637419355,0.270692933548387,0.270606000533333,0.010983255,0,0,4.34900672555556,0.964285714285714,1,1,0.7
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.323,-0.318,-0.763,2.785,0,0,0,0,0,0,93476,0,0.00769775906451613,0.0370173809354839,2.53304367366667,0.176244127777778,0.210884665645161,0.258238033548387,0.2176999833,0,0.0477261062,0.1147538809,6.90830092818182,1,0.838709677419355,0.67741935483871,0.633333333333333
31,1,2,0,0,0,0,1,2,0,0,0,0,0,0,-0.308,-0.406,-1.007,1.668,0,0,0,0,0,0,122835,0,0.00621937606451613,0.0585787199032258,2.69328733433333,0.150157175740741,0.194262203387097,0.225229382258065,0.179419546766667,0,0.0214222953333333,0.259420045285714,6.73321833583333,1,0.709677419354839,0.774193548387097,0.6
32,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0.013,-0.363,-1.074,1.451,0,0,0,0,0,0,67131,0.0618584628214286,0,0.0458652723870968,4.64988990046667,0.189132372037037,0.307594870645161,0.333886320645161,0.288936102666667,0.247433851285714,0,0.355455861,9.29977980093333,0.75,1,0.870967741935484,0.5
33,2,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.404,-0.145,-0.514,-0.366,0,0,0,0,0,0,229546,0.00200000625,0.0455810468064516,0,0.0298367017333333,0.130209280074074,0.145115700806452,0.146485671290323,0.141496506466667,0.0093333625,0.201858921571429,0,0.1790202104,0.785714285714286,0.774193548387097,1,0.833333333333333
34,2,12,1,10,1,2,0,0,0,0,0,0,0,0,-0.303,-0.127,-0.435,2.34,0,0,0,0,0,0,161447,0,0.00488915419354839,0,2.165565468,0.190845192222222,0.208031411903226,0.261756837741936,0.210060527533333,0,0.15156378,0,7.21855156,1,0.967741935483871,1,0.7
35,2,1,1,1,0,0,0,0,0,0,0,0,1,0,-0.345,-0.456,-0.882,0.316,0,0,0,0,0,0,195574,0.00831600310714286,0,0.000536860935483871,3.94035527,0.235259473333333,0.331851264516129,0.407419609354839,0.343772229266667,0.077616029,0,0.0083213445,9.850888175,0.892857142857143,1,0.935483870967742,0.6
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.248,-0.364,-0.604,0.749,0,0,0,0,0,0,46112,0.0220317526785714,0,0,2.27069944333333,0.180407002592593,0.189587447870968,0.235118827096774,0.227310003,0.3084445375,0,0,9.73156904285714,0.928571428571429,1,1,0.766666666666667
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,-0.324,-0.539,-0.407,0,0,0,0,0,0,90594,0,0,0.000535083161290323,0.156706638666667,0.149128114740741,0.157072058258065,0.164404132419355,0.1496106758,0,0,0.008293789,0.783533193333333,1,1,0.935483870967742,0.8
38,7,5,3,1,3,3,1,1,0,0,0,0,0,0,-0.309,-0.248,-0.447,1.459,0,0,0,0,0,0,435119,0,0.000188908290322581,0,0.865291382566667,0.18339962,0.180812283483871,0.206100949806452,0.186812325733333,0,0.005856157,0,1.99682626746154,1,0.967741935483871,1,0.566666666666667
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262,-0.245,-0.511,1.905,0,0,0,0,0,0,88987,0,0,0,1.1494573555,0.193225683333333,0.200232416,0.219613484193548,0.2034121837,0,0,0,5.7472867775,1,1,1,0.8
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,-0.465,-0.842,1.176,0,0,0,0,0,0,86032,0.0224549545714286,0,0.0330902509677419,3.31566956103333,0.194943546296296,0.248334316967742,0.2859139,0.278177501933333,0.157184682,0,0.256449445,7.65154514084615,0.857142857142857,1,0.870967741935484,0.566666666666667
41,4,1,1,0,2,1,0,0,0,0,0,0,1,0,-0.275,-0.24,-0.414,0.072,0,0,0,0,0,0,275813,0,0,0,0.1069445007,0.14258469837037,0.142595447580645,0.15577995516129,0.150174314333333,0,0,0,0.5347225035,1,1,1,0.8
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,-0.411,-0.525,-0.949,0,0,0,0,0,0,119530,0.0849608287857143,0.00241625980645161,0.00595724816129032,0.00744124183333333,0.150409709259259,0.196926361290323,0.184587832419355,0.187905786,0.396483867666667,0.037452027,0.061558231,0.05580931375,0.785714285714286,0.935483870967742,0.903225806451613,0.866666666666667
43,4,1,0,0,2,1,0,0,1,0,1,0,0,0,-0.257,-0.254,-0.389,-0.839,0,0,0,0,0,0,1072253,0.0184067664642857,0.00782725822580645,0.00841570654838709,0.0291936373,0.142745487925926,0.16996722,0.16428204,0.160502587666667,0.12884736525,0.0346635721428571,0.0434811505,0.1459681865,0.857142857142857,0.774193548387097,0.806451612903226,0.8
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234,-0.31,-0.666,1.752,0,0,0,0,0,0,128818,0,0.00456622738709677,0.0360883476451613,1.2973287397,0.140302620333333,0.168198381451613,0.17863066,0.1440811162,0,0.0283106098,0.27968469425,3.8919862191,1,0.838709677419355,0.870967741935484,0.666666666666667
