id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,pdi0_p1,pdi0_p2,pdi0_p3,pdi0_p4,tdi0_p1,tdi0_p2,tdi0_p3,tdi0_p4,vdi0_p1,vdi0_p2,vdi0_p3,vdi0_p4,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672,0.593,-0.292,-0.404,0,0,0,0,0,0,42239,2.6706301448,0.686330369129032,0,0,0.213666666666667,0.189,0.198333333333333,0.228,2.86138944085714,3.03946306328571,0,0,0.0666666666666667,0.774193548387097,1,1,0,0,0,0,36.9685999724963,39.4171851886438,37.5824842334709,36.0487482317853,2.31,1.08,0.67,0.88,1.18,1.18,1.03,0.82,0.4,0.41,0.41,0.4,0.6,1,1,1,0.6,1,1,1,0.4,0.4,0,0,2.03,1.11,0.76,0.87,12,37781,7183,30598,Hawiye
2,13,28,6,28,2,0,5,0,0,0,0,0,0,0,0.1,0.69,-0.475,-0.286,0,0,0,0,0,0,266816,2.83254866516667,0.294844663612903,0,0,0.219666666666667,0.213666666666667,0.222,0.289333333333333,2.93022275706897,1.01557606355556,0,0,0.0333333333333333,0.709677419354839,1,1,0,0,6,28,39.1076236015502,41.5991933890415,40.6507951380034,38.4129619014441,1.88,0.85,0.55,0.72,1.01,0.93,0.92,0.73,0.37,0.37,0.38,0.35,0.6,1,1,1,0.6,1,1,1,0.37,0.37,0,0,1.66,0.87,0.64,0.73,10,238655,61604,152241,Hawiye
3,10,21,6,11,0,0,4,10,0,0,0,0,0,0,1.123,2.383,-0.265,-0.47,0,0,0,1,0,0,192838,6.680593061,2.74097746609677,0.117215714892857,0.000590160064516129,0.353,0.269333333333333,0.262,0.322666666666667,6.680593061,4.04620483090476,0.6564080034,0.018294962,0,0.32258064516129,0.821428571428571,0.967741935483871,0,0,4,21,32.9945778232594,40.5806458258125,40.3340446776537,38.038499643464,1.49,0.79,0.43,0.44,0.8,0.43,0.43,0.43,0.39,0.35,0.37,0.38,0.6,1,1,1,0.6,0.8,1,0,0.39,0.39,0,0,1.32,0.7,0.43,0.44,9,172485,34783,124702,Daarood
4,2,6,0,0,0,0,2,6,0,0,0,0,0,0,1.355,0.809,0.21,-0.445,0,0,0,1,0,0,198315,7.38668301523333,1.83894933954839,0.0862050126428571,0,0.313333333333333,0.247666666666667,0.243333333333333,0.293666666666667,7.64139622265517,3.562964345375,0.402290059,0,0.0333333333333333,0.483870967741935,0.785714285714286,1,0,0,1,6,32.628712327854,40.6922330290112,40.951077303617,38.8508237877522,1.73,0.84,0.52,0.71,1.09,0.96,0.99,0.81,0.58,0.59,0.83,0.95,0.6,1,1,1,0.6,1,1,1,0.58,0.58,0,0,1.57,0.87,0.64,0.74,7,177384,30369,129015,Daarood
5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.008,2.08,-0.171,-0.302,0,0,0,1,0,0,62807,5.107381624,2.44614341854839,0.04483992625,0.0444282284193548,0.481,0.358666666666667,0.370333333333333,0.441666666666667,5.89313264307692,3.99107610394737,0.156939741875,0.153030564555556,0.133333333333333,0.387096774193548,0.714285714285714,0.709677419354839,0,1,0,0,32.1048079816154,36.8425854285358,36.4787022497551,34.5050348886422,1.39,0.94,0.48,0.43,0.76,0.47,0.48,0.5,0.4,0.4,0.47,0.53,0.6,1,1,1,0.6,0.76,1,0,0.4,0.4,0,0,1.23,0.82,0.48,0.45,9,56178,11483,44095,Daarood
6,7,9,3,5,1,3,2,1,0,0,0,0,1,0,1.199,0.981,-0.163,-0.43,0,0,0,1,0,0,352929,7.24619281133333,1.6450337956129,0.00703204160714286,0,0.365666666666667,0.276,0.264,0.320333333333333,7.24619281133333,4.63600433309091,0.0656323883333333,0,0,0.645161290322581,0.892857142857143,1,0,1,5,9,31.8829629751948,38.6622447238022,39.5681686464759,36.9934412425248,1.97,0.91,0.61,0.83,1.15,1.08,1.04,0.85,0.61,0.63,0.86,1,0.6,1,1,1,0.6,1,1,1,0.6,0.61,1,0,1.77,0.95,0.72,0.84,5,315679,36576,258433,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,-0.689,-0.257,0.016,0,0,0,0,0,0,108317,3.039802174,0.13359172,0.0363723964285714,0.161118362967742,0.126,0.118333333333333,0.124333333333333,0.132666666666667,3.14462293862069,0.414134332,1.0184271,0.9989338504,0.0333333333333333,0.67741935483871,0.964285714285714,0.838709677419355,0,0,0,0,40.7845674996099,41.6782884973269,37.663729369458,36.0067465380062,1.37,0.19,0.48,0.61,0.84,0.57,0.6,0.62,0.47,0.51,0.54,0.52,0.6,1,1,1,0.6,0.84,1,0,0.47,0.47,0,0,1.24,0.28,0.51,0.62,1,96885,4243,92642,Dir
8,6,6,4,6,0,0,0,0,0,0,0,0,2,0,0.294,0.613,-0.338,-0.331,0,0,0,0,0,0,237308,2.56973494813333,0.462799985032258,0,0,0.216333333333333,0.228333333333333,0.258666666666667,0.317666666666667,3.35182819321739,1.59408883733333,0,0,0.233333333333333,0.709677419354839,1,1,0,0,2,6,38.1271728377466,39.8635935035412,38.0196507410774,35.4478398700405,1.7,0.71,0.65,0.83,1.02,1.05,1.09,0.86,0.41,0.42,0.42,0.39,0.6,1,1,1,0.6,1,1,1,0.41,0.41,0,0,1.53,0.8,0.76,0.83,12,212261,25295,164746,Hawiye
9,63,67,28,39,13,12,20,16,0,0,0,0,2,0,0.149,0.33,-0.499,-0.288,0,0,0,0,0,0,1844955,2.04081855233333,0.12842156,0,0,0.218,0.221,0.240333333333334,0.3035,5.56586877909091,1.32702278666667,0,0,0.633333333333333,0.903225806451613,1,1,4,5,37,67,38.6173982196484,40.7313934462913,39.3352229395404,36.9304008857423,1.79,0.78,0.6,0.775,1.015,0.99,1.005,0.795,0.39,0.395,0.4,0.37,0.6,1,1,1,0.6,1,1,1,0.39,0.39,0,0,1.595,0.835,0.7,0.78,3,1650228,1280939,0,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.121,-0.437,-0.205,-0.203,1,0,0,0,0,0,17308,0.3052307185,0,0,0,0.125666666666667,0.124333333333333,0.128333333333333,0.133333333333333,0.704378581153846,0,0,0,0.566666666666667,1,1,1,0,0,0,0,42.5475101619186,40.3069061083381,36.5276140649179,34.3821415031156,0.42,0.26,0.24,0.22,1.07,0.87,0.62,0.62,0.51,0.51,0.53,0.54,0.42,0.42,0,0,0.6,1,1,1,0.51,0.51,0,0,0.59,0.41,0.33,0.32,4,15481,4360,11121,Daarood
