id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.38,0.249,-1.29,0.216,0,0,0,0,0,0,43463,0.258549722833333,2.0259631936129,0.878638281,0.583545948225807,0.258333333333333,0.33,0.233666666666667,0.206333333333333,0.705135607727273,2.85476631827273,2.39628622090909,3.01498739916667,0.633333333333333,0.290322580645161,0.633333333333333,0.806451612903226,0,0,1,1,33.4616250294012,34.841291130682,39.9281276368035,40.4397033429519,1.46,1.44,1.09,1.13,0.8,0.58,0.55,0.58,0.54,0.56,0.55,0.57,1.3,1.23,0.96,0.99,Hawiye
2,16,34,8,20,4,4,2,7,0,0,0,0,2,3,-1.166,-0.641,-1.087,0.307,1,0,0,0,0,0,274549,0.364426323166667,1.77263688303226,1.015185074,0.210469268064516,0.394666666666667,0.324666666666667,0.243,0.222666666666667,1.21475441055556,2.497806517,4.35079317428571,2.17484910333333,0.7,0.290322580645161,0.766666666666667,0.903225806451613,20,11,9,34,31.1380607443592,35.7411797900793,43.455011028026,42.6768855853401,1.09,1.22,0.92,1.16,0.83,0.53,0.49,0.51,0.75,0.51,0.51,0.53,1.02,1.05,0.81,1,Hawiye
3,3,0,1,0,0,0,2,0,0,0,0,0,0,0,-1.279,1.2,-0.9,-0.724,1,0,0,0,0,0,198427,0.5582988444,4.6399092156129,2.7045093104,0.250429348129032,0.480333333333333,0.461333333333333,0.301333333333333,0.277666666666667,1.19635466657143,5.53219944938462,5.070954957,0.646942482666667,0.533333333333333,0.161290322580645,0.466666666666667,0.612903225806452,0,1,0,0,33.0219528638002,31.8276431453603,40.3485732211064,41.9180250706723,1.58,1.35,0.85,0.92,0.86,0.71,0.49,0.52,0.74,0.49,0.52,0.56,1.4,1.19,0.76,0.82,Daarood
4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,-1.032,0.474,-1.026,-0.614,1,0,0,0,0,0,204063,0.179400104166667,2.08438161767742,2.57539014493333,0.40417055883871,0.337,0.407,0.328,0.254666666666667,0.448500260416667,3.58976834155556,7.02379130436364,3.132321831,0.6,0.419354838709677,0.633333333333333,0.870967741935484,0,1,1,4,34.0637784093068,33.3297407988943,38.7292644596053,43.4017984819453,1.56,1.69,1.22,1.09,0.52,0.54,0.57,0.59,0.59,0.6,0.68,0.72,1.3,1.4,1.06,0.96,Daarood
5,4,5,1,0,0,0,3,5,0,0,0,0,0,0,-0.908,0.165,-1.061,-0.902,0,0,0,0,0,0,64627,0.8711878264,5.15339408545161,2.16094489033333,0.156279587806452,0.671333333333333,0.575,0.414666666666667,0.404,1.45197971066667,5.50880057410345,3.08706412904762,0.538296358,0.4,0.0645161290322581,0.3,0.709677419354839,0,3,1,5,29.695870466433,29.5291013793588,35.7564704661385,36.9715378664235,0.98,0.86,0.77,0.86,0.88,0.75,0.51,0.52,0.79,0.52,0.57,0.62,0.96,0.83,0.71,0.78,Daarood
6,8,18,4,1,2,2,2,15,0,0,0,0,0,0,-0.652,1.329,-1.332,-0.789,0,0,0,0,0,0,363157,0.283578442533333,4.16482728064516,1.84762077413333,0.157763482032258,0.448333333333333,0.487,0.308333333333333,0.261666666666667,0.53170957975,5.61346285652174,4.263740248,1.22266698575,0.466666666666667,0.258064516129032,0.566666666666667,0.870967741935484,0,2,5,18,31.3855861708084,31.4461844154983,40.00696967061,42.4653330813304,1.45,1.2,0.45,0.54,0.53,0.54,0.55,0.58,0.76,0.54,0.59,0.67,1.22,1.04,0.48,0.55,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.532,1.227,-1.221,-0.965,0,0,0,1,1,1,111457,0.464933403366667,1.83631094032258,0.481676971866667,0.0012313365483871,0.162333333333333,0.132666666666667,0.126,0.128,1.16233350841667,3.16253550833333,1.11156224276923,0.038171433,0.6,0.419354838709677,0.566666666666667,0.967741935483871,0,0,0,0,41.3305816929274,44.5173622677814,43.7600416021609,39.7624579147775,1.73,1.21,0.5,1,0.86,0.84,1.06,1.11,0.79,0.54,0.63,0.69,1.51,1.12,0.64,1.03,Dir
8,8,1,3,0,0,0,3,1,1,0,0,0,1,0,-1.231,-0.502,-1.194,-0.684,1,0,0,0,0,0,244185,0.302956474,1.67912326216129,0.746535904266667,0.167368144387097,0.453666666666667,0.360333333333333,0.237333333333333,0.229,0.908869422,2.73962216457895,2.48845301422222,1.72947082533333,0.666666666666667,0.387096774193548,0.7,0.903225806451613,1,5,1,1,30.85611754616,33.5548831217365,40.1105094344216,39.7112665056138,1.2,1.29,0.88,1.25,1.07,1,0.94,0.79,0.81,0.51,0.49,0.51,1.17,1.22,0.9,1.14,Hawiye
9,48,55,23,10,16,23,8,22,0,0,0,0,1,0,-1.04,-0.822,-1.07,-0.358,1,0,0,0,0,0,1898422,0.378082813333333,1.43786930322581,0.579526816666667,0.0153177380645161,0.424166666666667,0.3425,0.240166666666667,0.225833333333333,1.41781055,11.1434871,2.89763408333333,0.47484988,0.733333333333333,0.870967741935484,0.8,0.967741935483871,22,21,27,55,30.9970891452596,34.6480314559079,41.7827602312238,41.1940760454769,1.145,1.255,0.9,1.205,0.95,0.765,0.715,0.65,0.78,0.51,0.5,0.52,1.095,1.135,0.855,1.07,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0.183,-1.723,-0.437,0,0,0,1,1,1,17809,0.331040879766667,0.966372768193548,0.128433427,0,0.136666666666667,0.127666666666667,0.126333333333333,0.125666666666667,0.827602199416667,2.13982541528571,0.350272982727273,0,0.6,0.548387096774194,0.633333333333333,1,0,0,0,0,36.6457209857472,42.867688897281,43.5477015202924,41.0870297697141,0.98,0.67,0.33,1.47,0.87,0.6,0.59,0.83,0.44,0.45,0.47,0.46,0.95,0.65,0.39,1.31,Daarood
