id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294,0.492,-1.145,-0.584,0,0,0,0,0,0,41060,0.0021312505,0.602446403032258,0.786280795483871,0.1634468299,0.173666666666667,0.17,0.160666666666667,0.277,0.063937515,1.69780349945455,3.0468380825,0.9806809794,0.966666666666667,0.645161290322581,0.741935483870968,0.833333333333333,0,0,0,0,0,37.6129773022571,35.4576058673598,32.2136623413703,35.0216412935579,0.82,0.69,0.45,0.47,1.15,0.96,0.78,0.5,0.34,0.35,0.38,0.44,0.9,0.76,0.53,0.48
2,28,69,6,42,4,7,13,20,2,0,0,0,3,0,-1.377,-1.109,-0.897,-1.072,1,0,0,0,0,0,259365,0.00539478266666667,0.163941363870968,0.695212191774193,0.4289298742,0.249666666666667,0.246,0.288666666666667,0.348666666666667,0.08092174,1.27054557,2.693947243125,1.2867896226,0.933333333333333,0.870967741935484,0.741935483870968,0.666666666666667,0,4,3,15,69,39.0365976364194,35.0424168581265,33.3919008398087,35.1686187127232,0.45,0.46,0.44,0.46,0.54,0.52,0.51,0.5,0.41,0.37,0.39,0.44,0.48,0.48,0.46,0.47
3,7,4,1,0,2,4,2,0,0,0,0,0,2,0,0.298,0.083,0.121,0.652,0,0,0,0,0,0,187453,0.626022125,0.557830310387097,0.893049629903226,1.25293515233333,0.296333333333333,0.291,0.433,0.473333333333333,3.130110625,1.44106163516667,1.62850226629412,2.50587030466667,0.8,0.612903225806452,0.451612903225806,0.5,1,0,1,2,4,38.9239869861516,36.9098390906492,33.8699736066586,32.435431906711,0.9,0.71,0.46,0.46,0.55,0.56,0.82,0.94,0.76,0.9,0.97,0.76,0.82,0.67,0.55,0.58
4,8,21,1,0,0,0,4,21,0,0,0,0,3,0,0.114,0.122,-0.374,0.287,0,0,0,0,0,0,192777,0.290425049,0.213891129354839,0.429422731709677,0.269516094433333,0.250333333333333,0.191666666666667,0.274,0.384666666666667,2.1781878675,1.326125002,1.664013085375,1.15506897614286,0.866666666666667,0.838709677419355,0.741935483870968,0.766666666666667,1,0,0,3,21,38.6325310757973,35.8055114856219,33.892425999299,32.9947768851369,0.8,0.65,0.44,0.45,0.59,0.55,0.76,0.86,0.93,0.91,0.97,0.78,0.75,0.62,0.52,0.55
5,2,20,0,0,0,0,2,20,0,0,0,0,0,0,-0.302,-0.178,-0.908,0.239,0,0,0,0,0,0,61053,0.8059049095,0.818691658967742,0.776662912774194,2.1176388001,0.535,0.561,0.661,0.626,3.022143410625,2.81993793644444,2.18877729963636,3.52939800016667,0.733333333333333,0.709677419354839,0.645161290322581,0.4,1,0,0,2,20,33.0640955887155,30.5801578027943,28.0142246224973,28.7835974043253,0.49,0.44,0.42,0.41,0.56,0.56,0.81,0.9,1.19,1.08,0.89,0.66,0.51,0.47,0.52,0.53
6,12,14,3,3,2,2,3,9,0,0,0,0,4,0,0.001,0.423,-0.57,-0.37,0,0,0,0,0,0,343074,0.267721541533333,0.533989306677419,0.661232147516129,0.327511742133333,0.286,0.284,0.378666666666667,0.514333333333333,1.33860770766667,1.83929650077778,1.57678435176923,0.893213842181818,0.8,0.709677419354839,0.580645161290323,0.633333333333333,2,6,4,4,14,36.7859428876857,32.5426982204226,31.4579118402427,30.9077087749001,0.5,0.48,0.46,0.47,1.08,1.01,0.96,0.78,1.23,1.15,0.97,0.75,0.65,0.61,0.58,0.55
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439,0.265,-1.61,-0.753,0,0,0,1,0,0,105293,1.30821110583333,0.855424578,0.149739765483871,0.0656854146666667,0.132,0.111666666666667,0.112,0.138,1.78392423522727,1.26276961514286,0.663133247142857,0.328427073333333,0.266666666666667,0.32258064516129,0.774193548387097,0.8,3,0,0,0,0,43.5900736234239,41.2145402230983,38.5095477603626,43.505170130037,0.65,0.43,0.43,0.61,1.3,1.1,1.1,0.98,0.44,0.43,0.46,0.48,0.81,0.6,0.6,0.7
8,2,5,2,5,0,0,0,0,0,0,0,0,0,0,-0.893,-1.082,-1.18,-0.836,0,0,0,0,0,0,230681,0,0.28281262916129,0.71897447483871,0.546316652833333,0.266333333333333,0.257,0.309666666666667,0.346,0,1.7534383008,3.71470145333333,2.048687448125,1,0.838709677419355,0.806451612903226,0.733333333333333,0,0,0,1,5,36.3459223748035,33.4421405755971,31.660352157812,33.9009200086028,0.42,0.43,0.42,0.43,0.55,0.54,0.53,0.5,0.4,0.38,0.42,0.46,0.45,0.46,0.44,0.45
9,73,75,22,30,25,22,18,23,6,0,1,0,1,0,-1.582,-1.169,-0.838,-0.67,1,1,0,0,0,0,1793435,0,0.507767848387097,1.30213239354839,0.76388779,0.258,0.2515,0.299166666666667,0.347333333333333,0,3.935200825,5.76658631428571,4.58332674,1,0.870967741935484,0.774193548387097,0.833333333333333,0,19,15,40,75,37.6912600056115,34.2422787168618,32.5261264988103,34.534769360663,0.435,0.445,0.43,0.445,0.545,0.53,0.52,0.5,0.405,0.375,0.405,0.45,0.465,0.47,0.45,0.46
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046,-0.162,-0.115,-0.557,0,0,0,1,0,0,16824,0.216972160433333,0.0102230273548387,0,0.00195932586666667,0.122333333333333,0.124666666666667,0.133666666666667,0.142,0.6509164813,0.0528189746666667,0,0.029389888,0.666666666666667,0.806451612903226,1,0.933333333333333,1,0,0,0,0,40.6311785702318,38.828329550799,35.9077966895075,38.5269396041468,1.02,1.3,1.02,0.94,0.85,1,1.05,1.07,0.8,1.02,0.88,0.62,0.98,1.23,1.02,0.97
