id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0.026,-0.897,-0.845,0,0,0,1,1,1,42239,0.0960391215333333,0.537077448387097,0.849575822258064,0.134197798366667,0.201666666666667,0.210666666666667,0.257,0.319666666666667,0.960391215333333,3.32988018,2.39425913545455,0.575133421571429,0.9,0.838709677419355,0.645161290322581,0.766666666666667,0,0,0,0,38.5707737100395,34.5494432250336,34.813662040945,33.354545352701,2.1,2.18,2.3,2.17,1.13,1.16,1.15,1.38,1.18,1.14,1.17,0.94,1.86,1.93,2.01,1.97,12,37781,7183,30598,Hawiye
2,16,22,8,12,2,3,6,7,0,0,0,0,0,0,-1.37,0.467,-1.577,-0.683,1,0,0,0,0,0,266816,0.00914271876666667,0.548325775935484,0.471427098645161,0.740932228666667,0.307333333333333,0.325333333333333,0.509666666666667,0.529666666666667,0.0914271876666667,1.88867767266667,2.08774857971429,2.7784958575,0.9,0.709677419354839,0.774193548387097,0.733333333333333,5,6,10,22,40.0667210203411,33.1089899242722,31.4631650488526,28.7597010709173,1.58,2.02,2.14,2.15,1.27,1.53,1.53,1.58,1.86,1.76,1.73,1.16,1.5,1.89,1.98,2.01,10,238655,61604,152241,Hawiye
3,3,29,1,7,0,0,2,22,0,0,0,0,0,0,-0.82,-0.204,-0.199,0.067,0,0,0,0,0,0,192838,0.406278154166667,0.507761457516129,0.824164433548387,1.0981978785,0.330333333333333,0.361333333333333,0.475666666666667,0.596666666666667,0.937564971153846,1.21081578330769,1.59681859,1.8303297975,0.566666666666667,0.580645161290323,0.483870967741935,0.4,11,2,3,29,37.74858833802,32.8905616643868,30.3138874286013,28.8103516934166,1.97,2.03,2.05,2.02,1.4,1.67,1.61,1.51,1.66,1.59,1.56,1.17,1.82,1.94,1.94,1.89,9,172485,34783,124702,Daarood
4,3,10,0,0,1,1,2,9,0,0,0,0,0,0,-0.503,0.54,0.157,-0.729,0,0,0,0,0,0,198315,0.195567371866667,0.244210153,0.515724022129032,0.198086247433333,0.264666666666667,0.271,0.342333333333333,0.456666666666667,0.651891239555556,0.688228613,1.45340406236364,0.990431237166667,0.7,0.645161290322581,0.645161290322581,0.8,8,2,3,10,37.8689372604537,33.6774642010069,33.5977897004295,30.3281105626328,2.04,2.05,2.1,2.05,1.35,1.35,1.32,1.56,1.57,1.54,1.55,1.21,1.87,1.88,1.91,1.93,7,177384,30369,129015,Daarood
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398,-0.294,-0.042,1.088,0,0,0,0,0,0,62807,0.801152972666667,0.773381685870968,1.3146847983871,2.73530219233333,0.519333333333333,0.608,0.642,0.704666666666667,3.0043236475,2.3974832262,2.91108776785714,4.55883698722222,0.733333333333333,0.67741935483871,0.548387096774194,0.4,0,0,0,0,31.9565680477168,28.2357873177258,27.0766906446126,26.8125934818831,0.9,0.99,1.35,1.6,1.41,1.43,1.39,1.32,1.49,1.44,1.3,0.98,1.03,1.1,1.36,1.53,9,56178,11483,44095,Daarood
6,10,11,6,9,2,2,2,0,0,0,0,0,0,0,0.514,0.723,-0.69,-0.193,0,0,0,0,0,0,352929,0.356868847866667,0.571268707322581,0.620265558129032,0.370710894666667,0.312666666666667,0.333333333333333,0.366,0.549333333333333,1.78434423933333,1.60993908427273,1.9228232302,1.390165855,0.8,0.645161290322581,0.67741935483871,0.733333333333333,10,8,4,11,37.3381763035211,31.3692957056867,30.0507041629247,28.3840503682807,2.21,2.18,2.27,2.24,1.27,1.44,1.38,1.41,1.51,1.43,1.39,1.15,1.97,1.99,2.05,2.03,5,315679,36576,258433,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.783,-0.301,-0.93,-0.579,0,0,0,0,0,0,108317,0.511983282733333,0.853699092903226,0.357103257064516,0.1017627053,0.157333333333333,0.144666666666667,0.14,0.151,1.27995820683333,1.39287746736842,0.851553920692308,0.436125879857143,0.6,0.387096774193548,0.580645161290323,0.766666666666667,0,0,0,0,44.3946832735604,40.8758960433691,36.3465650810743,38.7712960932233,1.45,1.1,1.87,2.46,1.66,1.6,1.52,1.34,1.36,1.08,0.8,0.52,1.5,1.23,1.79,2.18,1,96885,4243,92642,Dir
8,5,9,2,9,0,0,0,0,0,0,0,0,3,0,-0.882,0.784,-1.65,-0.991,0,0,0,0,0,0,237308,0.0025404524,0.746501664354839,0.567248428935484,0.4372541891,0.299666666666667,0.335333333333333,0.387333333333333,0.477333333333333,0.038106786,2.57128351055556,2.198087662125,2.1862709455,0.933333333333333,0.709677419354839,0.741935483870968,0.8,0,0,2,9,36.7137202767799,31.9773881240205,30.416276086221,29.2697540231003,1.59,2.01,2.18,2.07,1.24,1.47,1.46,1.46,1.38,1.31,1.15,0.86,1.5,1.88,2,1.92,12,212261,25295,164746,Hawiye
9,59,85,21,39,20,21,15,24,2,0,1,1,0,0,-1.266,0.239,-1.273,-0.735,1,0,0,0,0,0,1844955,0.0722492766666667,1.0021091516129,1.0649425483871,0.567307612,0.3035,0.330333333333333,0.4485,0.5035,1.08373915,5.17756395,5.50220316666667,3.403845672,0.933333333333333,0.806451612903226,0.806451612903226,0.833333333333333,58,23,39,85,38.3902206485605,32.5431890241464,30.9397205675368,29.0147275470088,1.585,2.015,2.16,2.11,1.255,1.5,1.495,1.52,1.62,1.535,1.44,1.01,1.5,1.885,1.99,1.965,3,1650228,1280939,0,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,1.514,-0.115,-0.446,0,0,0,0,0,0,17308,0.1153653363,0.0489383310322581,0,0.0101127015,0.120333333333333,0.114,0.119,0.128,0.384551121,0.168565362444444,0,0.1516905225,0.7,0.709677419354839,1,0.933333333333333,0,0,0,0,40.7484211623547,36.6149444121351,35.1040226081511,37.2799132203133,1.68,1.16,1.56,1.84,1.17,1.32,1.12,1.11,0.4,0.4,0.41,0.41,1.55,1.2,1.45,1.66,4,15481,4360,11121,Daarood
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.81,-0.16,-0.319,-0.855,1,1,0,0,0,0,82812,0.1780584186,0.930882982580645,1.3028343013871,1.10208317333333,0.300333333333333,0.321,0.486666666666667,0.483666666666667,1.3354381395,4.12248178,5.048482917875,5.51041586666667,0.866666666666667,0.774193548387097,0.741935483870968,0.8,0,0,0,0,37.6287652539765,33.2738307574262,31.1170577246498,28.3609157278387,1.17,1.23,2,2.49,0.67,0.96,1.18,1.43,0.77,0.92,0.97,0.67,1.05,1.17,1.8,2.23,10,74072,12296,48136,Hawiye
12,8,5,5,3,2,2,1,0,0,0,0,0,0,0,0.577,0.448,-0.663,-0.488,0,0,0,0,0,0,262969,0.2780627388,0.150467027677419,0.179211521612903,0.00480198723333333,0.219666666666667,0.213666666666667,0.237,0.336333333333333,1.191697452,0.4664477858,0.61728413,0.03601490425,0.766666666666667,0.67741935483871,0.709677419354839,0.866666666666667,2,2,5,5,40.5526558503742,36.4776412064735,36.0522975990411,34.796969686736,1.2,1.87,2.49,2.82,1.33,1.33,1.27,1.52,1.62,1.55,1.51,1.27,1.23,1.74,2.18,2.49,8,235214,31874,170930,Hawiye
13,1,21,1,21,0,0,0,0,0,0,0,0,0,0,-0.099,1.444,0.111,-0.519,0,0,0,0,0,0,92924,0.019069484,0.173088166677419,0.177257635935484,0,0.256666666666667,0.256666666666667,0.312333333333333,0.379,0.19069484,0.487793924272727,1.0989973428,0,0.9,0.645161290322581,0.838709677419355,1,0,0,1,21,40.5041820336393,37.5344937904443,33.4396088112491,32.3762948574246,1.78,2.17,2.27,2.39,1.48,1.55,1.59,1.62,2.15,2.03,2.04,1.7,1.7,2.02,2.1,2.2,7,83116,26920,43636,Daarood
14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.253,-0.231,-0.639,-0.718,0,0,0,0,0,0,196777,0.457514634333333,0.104329904645161,0.0231210011290323,0.0011964896,0.105666666666667,0.098333333333333,0.094333333333333,0.112333333333333,1.71567987875,0.231016217428571,0.143350207,0.008973672,0.733333333333333,0.548387096774194,0.838709677419355,0.866666666666667,0,0,0,0,46.7013907569247,41.3424345787078,37.059451647539,39.4111530569666,0.95,1.02,1.44,1.8,1.31,1.51,1.48,1.37,0.62,0.78,0.94,0.78,1.04,1.14,1.45,1.69,18,176008,73971,101447,Dir
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.93,-0.039,-0.084,-0.283,0,0,0,0,0,0,445645,1.32622099586667,2.51241682419355,1.34339296774194,0.423466233766667,0.262,0.229333333333333,0.218666666666667,0.253333333333333,3.31555248966667,3.8942460775,2.44971658823529,0.846932467533333,0.6,0.354838709677419,0.451612903225806,0.5,0,0,0,0,36.6447352606296,33.0383265451928,30.4044002441586,34.1572277181395,1.79,1.78,2.79,2.8,1.55,1.62,1.6,1.44,1.55,1.55,1.53,1.16,1.73,1.74,2.5,2.46,1,398609,271045,127504,Dir
16,10,10,4,7,6,3,0,0,0,0,0,0,0,0,-0.32,-0.896,-0.406,-0.124,0,0,0,0,0,0,524975,0.553291047066667,0.110944944870968,0,0.167315769866667,0.142666666666667,0.133,0.142,0.152,1.27682549323077,0.3439293291,0,0.717067585142857,0.566666666666667,0.67741935483871,1,0.766666666666667,0,0,6,10,40.863895039444,36.522724567631,33.5072850329901,34.8336621198504,1.42,1.51,1.97,2.26,1.28,1.47,1.43,1.45,0.84,0.99,1.05,0.8,1.38,1.5,1.83,2.06,4,469566,394831,25735,Daarood
17,2,10,0,0,1,0,1,10,0,0,0,0,0,0,-1.619,0.176,-0.186,-0.639,1,1,0,0,0,0,121846,0.248456545866667,0.53996000383871,1.14546445806452,1.19129288566667,0.396,0.439666666666667,0.571333333333333,0.624666666666667,1.064813768,3.3477520238,3.22812710909091,5.10554093857143,0.766666666666667,0.838709677419355,0.645161290322581,0.766666666666667,0,1,1,10,35.8292174177393,31.732548817414,28.9862373242548,28.1340837690179,1.53,1.94,2.07,2.03,1.21,1.37,1.36,1.38,1.34,1.31,1.28,1.02,1.45,1.8,1.89,1.87,11,108986,17475,79511,Hawiye
18,3,2,1,0,0,0,2,2,0,0,0,0,0,0,1.257,0.708,-0.876,-0.557,0,0,0,1,0,0,154600,0.270314619766667,0.313152400774194,0.445443814516129,0.0322798960666667,0.255666666666667,0.253666666666667,0.287,0.440333333333333,2.02735964825,0.882520402181818,0.72677675,0.138342411714286,0.866666666666667,0.645161290322581,0.387096774193548,0.766666666666667,2,2,1,2,39.3196086133902,33.4221665987092,34.9420716504299,32.5983209608206,2.07,2.19,2.32,2.17,1.35,1.4,1.34,1.59,1.78,1.65,1.64,1.37,1.89,1.99,2.07,2.03,8,138283,25949,102714,Hawiye
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-0.26,-0.904,-0.392,0,0,0,0,0,0,514676,0.932542003966667,0.122483728064516,0.0112866330645161,0.279226669533333,0.175,0.159,0.174666666666667,0.233666666666667,2.54329637445455,0.292076582307692,0.0499836607142857,0.644369237384615,0.633333333333333,0.580645161290323,0.774193548387097,0.566666666666667,0,0,0,0,41.5272241493443,35.825513906047,33.9644913483777,32.9268057572798,2.13,1.96,2.36,2.73,1.25,1.34,1.32,1.53,1.64,1.52,1.54,1.33,1.91,1.81,2.1,2.43,17,460354,376010,58584,Dir
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,2.816,-0.271,-0.448,0,0,0,0,0,0,72629,0.223125489733333,0.0141355783870968,0,0,0.162666666666667,0.157,0.165,0.221,1.673441173,0.146067643333333,0,0,0.866666666666667,0.903225806451613,1,1,0,0,0,0,39.6750826425084,35.1468219563614,33.1379458401518,32.987608313103,2.37,2.36,2.71,3.03,1.26,1.49,1.48,1.5,1.18,1.16,1.37,1.26,2.1,2.14,2.4,2.65,14,64963,31193,33770,Daarood
21,4,15,3,15,1,0,0,0,0,0,0,0,0,0,1.525,-0.233,-0.496,-0.5,0,0,0,1,1,0,93629,1.18014048106667,0,0,0.000608298866666667,0.195,0.178666666666667,0.210333333333333,0.311333333333333,7.0808428864,0,0,0.018248966,0.833333333333333,1,1,0.966666666666667,0,0,3,15,40.1706409525141,35.4858729299276,32.581103369947,31.504706031003,2.08,1.89,2.19,2.55,1.27,1.57,1.55,1.62,1.93,1.9,1.89,1.79,1.88,1.81,2.03,2.32,17,83747,49979,33768,Daarood
22,3,70,1,0,1,0,1,70,0,0,0,0,0,0,-1.245,1.857,-0.523,-0.454,1,0,0,0,0,0,220467,0.191827379,0.828472067322581,0.764387300806452,0.684307511566667,0.349,0.375666666666667,0.494666666666667,0.602333333333333,0.71935267125,2.85362600966667,2.15418239318182,1.57917118053846,0.733333333333333,0.709677419354839,0.645161290322581,0.566666666666667,0,1,1,70,38.1852925601011,30.8144373499427,29.9166243806056,28.2703543110672,2.05,2.04,2.14,2.14,1.27,1.54,1.49,1.51,1.73,1.63,1.59,1.23,1.85,1.91,1.98,1.99,5,197198,25192,160236,Reewin
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.996,-0.302,-0.451,0,0,0,0,0,0,113990,0.251301990833333,0.0467751935483871,0,0,0.208666666666667,0.205333333333333,0.229666666666667,0.308,1.507811945,0.483343666666667,0,0,0.833333333333333,0.903225806451613,1,1,0,0,0,0,41.5095537821046,37.5517914554358,35.9256554149967,35.8589929577495,1.24,1.26,1.88,2.28,1.33,1.59,1.52,1.57,1.76,1.66,1.65,1.39,1.26,1.34,1.79,2.1,6,101959,46328,43463,Hawiye
24,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0.974,1.367,-0.168,-0.228,0,0,0,0,0,0,144879,0.170632247533333,0.0311749611290323,0.00390443422580645,0.00432461443333333,0.178333333333333,0.173666666666667,0.188,0.232666666666667,1.70632247533333,0.24160594875,0.0605187305,0.0648692165,0.9,0.870967741935484,0.935483870967742,0.933333333333333,0,0,1,1,40.5547822235215,37.051925809582,35.9541179144478,35.8585158161451,1.59,1.23,2.04,2.36,1.38,1.4,1.36,1.67,1.49,1.43,1.44,1.26,1.54,1.27,1.87,2.19,6,129588,50099,52489,Hawiye
